PLid,plate,position
PL18762,plate_1,A1
PL18763,plate_1,A2
PL18764,plate_1,A3
PL18765,plate_1,A4
PL18766,plate_1,A5
PL18767,plate_1,A6
PL18768,plate_1,A7
PL18769,plate_1,A8
PL18770,plate_1,A9
PL18771,plate_1,A10
PL18772,plate_1,A11
PL18773,plate_1,A12
PL18774,plate_1,B1
PL18775,plate_1,B2
PL18776,plate_1,B3
PL18777,plate_1,B4
PL18778,plate_1,B5
PL18779,plate_1,B6
PL18780,plate_1,B7
PL18781,plate_1,B8
PL18782,plate_1,B9
PL18783,plate_1,B10
PL18784,plate_1,B11
PL18785,plate_1,B12
PL18786,plate_1,C1
PL18787,plate_1,C2
PL18788,plate_1,C3
PL18789,plate_1,C4
PL18790,plate_1,C5
PL18791,plate_1,C6
PL18792,plate_1,C7
PL18793,plate_1,C8
PL18794,plate_1,C9
PL18795,plate_1,C10
PL18796,plate_1,C11
PL18797,plate_1,C12
PL18798,plate_1,D1
PL18799,plate_1,D2
PL18800,plate_1,D3
PL18801,plate_1,D4
PL18802,plate_1,D5
PL18803,plate_1,D6
PL18804,plate_1,D7
PL18805,plate_1,D8
PL18806,plate_1,D9
PL18807,plate_1,D10
PL18808,plate_1,D11
PL18809,plate_1,D12
PL18810,plate_1,E1
PL18811,plate_1,E2
PL18812,plate_1,E3
PL18813,plate_1,E4
PL18814,plate_1,E5
PL18815,plate_1,E6
PL18816,plate_1,E7
PL18817,plate_1,E8
PL18818,plate_1,E9
PL18819,plate_1,E10
PL18820,plate_1,E11
PL18821,plate_1,E12
PL18822,plate_1,F1
PL18823,plate_1,F2
PL18824,plate_1,F3
PL18825,plate_1,F4
PL18826,plate_1,F5
PL18827,plate_1,F6
PL18828,plate_1,F7
PL18829,plate_1,F8
PL18830,plate_1,F9
PL18831,plate_1,F10
PL18832,plate_1,F11
PL18833,plate_1,F12
PL18834,plate_1,G1
PL18835,plate_1,G2
PL18836,plate_1,G3
PL18837,plate_1,G4
PL18838,plate_1,G5
PL18839,plate_1,G6
PL18840,plate_1,G7
PL18841,plate_1,G8
PL18842,plate_1,G9
PL18843,plate_1,G10
PL18844,plate_1,G11
PL18845,plate_1,G12
PL18846,plate_1,H1
PL18847,plate_1,H2
PL18848,plate_1,H3
PL18849,plate_1,H4
PL18850,plate_1,H5
PL18851,plate_1,H6
PL18852,plate_1,H7
PL18853,plate_1,H8
PL18854,plate_1,H9
PL18855,plate_1,H10
PL18856,plate_1,H11
PL18857,plate_1,H12
PL18858,plate_2,A1
PL18859,plate_2,A2
PL18860,plate_2,A3
PL18861,plate_2,A4
PL18862,plate_2,A5
PL18863,plate_2,A6
PL18864,plate_2,A7
PL18865,plate_2,A8
PL18866,plate_2,A9
PL18867,plate_2,A10
PL18868,plate_2,A11
PL18869,plate_2,A12
PL18870,plate_2,B1
PL18871,plate_2,B2
PL18872,plate_2,B3
PL18873,plate_2,B4
PL18874,plate_2,B5
PL18875,plate_2,B6
PL18876,plate_2,B7
PL18877,plate_2,B8
PL18878,plate_2,B9
PL18879,plate_2,B10
PL18880,plate_2,B11
PL18881,plate_2,B12
PL18882,plate_2,C1
PL18883,plate_2,C2
PL18884,plate_2,C3
PL18885,plate_2,C4
PL18886,plate_2,C5
PL18887,plate_2,C6
PL18888,plate_2,C7
PL18889,plate_2,C8
PL18890,plate_2,C9
PL18891,plate_2,C10
PL18892,plate_2,C11
PL18893,plate_2,C12
PL18894,plate_2,D1
PL18895,plate_2,D2
PL18896,plate_2,D3
PL18897,plate_2,D4
PL18898,plate_2,D5
PL18899,plate_2,D6
PL18900,plate_2,D7
PL18901,plate_2,D8
PL18902,plate_2,D9
PL18903,plate_2,D10
PL18904,plate_2,D11
PL18905,plate_2,D12
PL18906,plate_2,E1
PL18907,plate_2,E2
PL18908,plate_2,E3
PL18909,plate_2,E4
PL18910,plate_2,E5
PL18911,plate_2,E6
PL18912,plate_2,E7
PL18913,plate_2,E8
PL18914,plate_2,E9
PL18915,plate_2,E10
PL18916,plate_2,E11
PL18917,plate_2,E12
PL18918,plate_2,F1
PL18919,plate_2,F2
PL18920,plate_2,F3
PL18921,plate_2,F4
PL18922,plate_2,F5
PL18923,plate_2,F6
PL18924,plate_2,F7
PL18925,plate_2,F8
PL18926,plate_2,F9
PL18927,plate_2,F10
PL18928,plate_2,F11
PL18929,plate_2,F12
PL18930,plate_2,G1
PL18931,plate_2,G2
PL18932,plate_2,G3
PL18933,plate_2,G4
PL18934,plate_2,G5
PL18935,plate_2,G6
PL18936,plate_2,G7
PL18937,plate_2,G8
PL18938,plate_2,G9
PL18939,plate_2,G10
PL18940,plate_2,G11
PL18941,plate_2,G12
PL18942,plate_2,H1
PL18943,plate_2,H2
PL18944,plate_2,H3
PL18945,plate_2,H4
PL18946,plate_2,H5
PL18947,plate_2,H6
PL18948,plate_2,H7
PL18949,plate_2,H8
PL18950,plate_2,H9
PL18951,plate_2,H10
PL18952,plate_2,H11
PL18953,plate_2,H12
PL18954,na,na
PL18955,na,na
PL18956,na,na
PL18957,na,na
PL18958,na,na
PL18959,na,na
PL18960,na,na
PL18961,na,na